graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_10,degree_distribution_original_11,degree_distribution_original_12,degree_distribution_original_13,degree_distribution_original_14,degree_distribution_original_15,degree_distribution_original_16,degree_distribution_original_17,degree_distribution_original_18,degree_distribution_original_19,degree_distribution_original_2,degree_distribution_original_20,degree_distribution_original_21,degree_distribution_original_22,degree_distribution_original_23,degree_distribution_original_24,degree_distribution_original_25,degree_distribution_original_26,degree_distribution_original_27,degree_distribution_original_28,degree_distribution_original_29,degree_distribution_original_3,degree_distribution_original_30,degree_distribution_original_31,degree_distribution_original_32,degree_distribution_original_33,degree_distribution_original_34,degree_distribution_original_35,degree_distribution_original_38,degree_distribution_original_39,degree_distribution_original_4,degree_distribution_original_40,degree_distribution_original_41,degree_distribution_original_43,degree_distribution_original_44,degree_distribution_original_48,degree_distribution_original_5,degree_distribution_original_56,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_original_9,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_10,degree_distribution_sparsified_11,degree_distribution_sparsified_12,degree_distribution_sparsified_13,degree_distribution_sparsified_14,degree_distribution_sparsified_15,degree_distribution_sparsified_16,degree_distribution_sparsified_17,degree_distribution_sparsified_18,degree_distribution_sparsified_19,degree_distribution_sparsified_2,degree_distribution_sparsified_20,degree_distribution_sparsified_21,degree_distribution_sparsified_22,degree_distribution_sparsified_23,degree_distribution_sparsified_24,degree_distribution_sparsified_25,degree_distribution_sparsified_26,degree_distribution_sparsified_27,degree_distribution_sparsified_28,degree_distribution_sparsified_29,degree_distribution_sparsified_3,degree_distribution_sparsified_30,degree_distribution_sparsified_31,degree_distribution_sparsified_32,degree_distribution_sparsified_33,degree_distribution_sparsified_34,degree_distribution_sparsified_35,degree_distribution_sparsified_36,degree_distribution_sparsified_37,degree_distribution_sparsified_38,degree_distribution_sparsified_39,degree_distribution_sparsified_4,degree_distribution_sparsified_40,degree_distribution_sparsified_41,degree_distribution_sparsified_43,degree_distribution_sparsified_44,degree_distribution_sparsified_48,degree_distribution_sparsified_5,degree_distribution_sparsified_56,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,degree_distribution_sparsified_9,sparsify_time
ants.edgelist,unknown,kols,0.2,35,480,96,0.2,True,True,5.0,4.0,0.0,1.3578151260504212,0.5193170750653202,4.0,51559758.0,12448728.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,0.08571428571428572,0.02857142857142857,,,,,,,,,,0.11428571428571428,,,,,,,,,,0.02857142857142857,0.4857142857142857,,0.02857142857142857,0.02857142857142857,,,,,,,,0.2,,,,,,,,,,,,0.003735599999999728
ants.edgelist,unknown,random,0.2,35,480,386,0.8041666666666667,True,True,5.0,5.0,0.0,1.115826330532213,0.14420564304153258,4.0,51559758.0,43089791.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,,,0.02857142857142857,0.02857142857142857,,0.02857142857142857,,0.02857142857142857,0.02857142857142857,,0.05714285714285714,,0.08571428571428572,0.17142857142857143,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.11428571428571428,,0.02857142857142857,0.05714285714285714,,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,0.0010462999999996114
ants.edgelist,unknown,k_neighbor,0.2,35,480,39,0.08125,True,True,5.0,10.0,0.0,2.7388375350140053,3.164977406845104,9.0,51559758.0,11858191.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,0.22857142857142856,,,,,,,,,,,0.45714285714285713,,,,,,,,,,,0.22857142857142856,,,,,,,,,,,0.05714285714285714,,,,,,,,0.02857142857142857,,,,0.001665100000000308
ants.edgelist,unknown,local_degree,0.2,35,480,39,0.08125,True,True,5.0,3.0,0.0,1.194509803921571,0.2866155160103249,3.0,51559758.0,1746765.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,0.02857142857142857,,,,,,,,,,,,,,0.02857142857142857,,,,0.0030292999999996795
ants.edgelist,unknown,mst,0.2,35,480,34,0.07083333333333333,True,True,5.0,15.0,0.0,3.5168067226890747,6.220305769366563,15.0,51559758.0,380821.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,0.42857142857142855,,,,,,,,,,,0.34285714285714286,,,,,,,,,,,0.17142857142857143,,,,,,,,,,,,,,,,,0.02857142857142857,,0.02857142857142857,,,,0.0018925000000002967
ants.edgelist,unknown,t_spanner,0.2,35,480,56,0.11666666666666667,True,True,5.0,6.0,0.0,1.6640056022408958,0.753412619949931,5.0,51559758.0,920559.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,0.08571428571428572,,,,,,,,,,,0.22857142857142856,,,,,,,,,,,0.4,,,,,,,,,,,0.14285714285714285,,,,,,0.02857142857142857,,0.08571428571428572,,0.02857142857142857,,0.031555
eco.edgelist,unknown,kols,0.2,54,353,70,0.19830028328611898,True,False,11.0,inf,0.42697414395527605,1.0264905149051504,0.6993797185849434,8.0,140335433.2836947,126127631.03656594,,0.05555555555555555,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.05555555555555555,,0.018518518518518517,0.037037037037037035,0.09259259259259259,,0.018518518518518517,0.018518518518518517,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,0.037037037037037035,,,,,0.018518518518518517,0.037037037037037035,,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.037037037037037035,0.24074074074074073,0.2777777777777778,,,0.018518518518518517,0.05555555555555555,,,,,,,0.3148148148148148,,,,,,,,0.018518518518518517,,,0.05555555555555555,,,,,,,,,,,0.018518518518518517,,,,,,,,,,,,0.006441899999999556
eco.edgelist,unknown,random,0.2,54,353,280,0.7932011331444759,True,True,11.0,10.0,0.0,1.0911477760534352,0.37473191656706234,8.0,140335433.2836947,101295701.55764218,,0.05555555555555555,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.05555555555555555,,0.018518518518518517,0.037037037037037035,0.09259259259259259,,0.018518518518518517,0.018518518518518517,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,0.037037037037037035,,,,,0.018518518518518517,0.037037037037037035,,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.037037037037037035,,,0.12962962962962962,0.05555555555555555,0.09259259259259259,0.07407407407407407,0.018518518518518517,0.05555555555555555,0.018518518518518517,,0.018518518518518517,,,,,,,0.018518518518518517,,,,,,0.037037037037037035,,0.018518518518518517,,,,,,,,0.018518518518518517,0.12962962962962962,,,,,,0.018518518518518517,,0.05555555555555555,0.1111111111111111,0.07407407407407407,0.05555555555555555,0.0008392999999999873
eco.edgelist,unknown,k_neighbor,0.2,54,353,52,0.14730878186968838,True,False,11.0,inf,0.1069182389937107,1.2316384276478176,0.9690632194095284,8.0,140335433.2836947,50924587.09367333,,0.05555555555555555,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.05555555555555555,,0.018518518518518517,0.037037037037037035,0.09259259259259259,,0.018518518518518517,0.018518518518518517,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,0.037037037037037035,,,,,0.018518518518518517,0.037037037037037035,,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.037037037037037035,,0.6481481481481481,,,,,0.018518518518518517,,,,,,0.2037037037037037,,,,,,,,,,,0.05555555555555555,,,,,,,,,,,0.018518518518518517,,,,,,,,0.018518518518518517,0.037037037037037035,,,0.002256899999999895
eco.edgelist,unknown,local_degree,0.2,54,353,54,0.1529745042492918,True,True,11.0,5.0,0.0,0.6583672655475604,0.21023539701954927,4.0,140335433.2836947,48545332.932182394,,0.05555555555555555,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.05555555555555555,,0.018518518518518517,0.037037037037037035,0.09259259259259259,,0.018518518518518517,0.018518518518518517,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,0.037037037037037035,,,,,0.018518518518518517,0.037037037037037035,,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.037037037037037035,,0.9074074074074074,,,,,,,,,,,0.037037037037037035,,,,,,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,,,,,0.018518518518518517,,,,,,,0.001996899999999968
eco.edgelist,unknown,mst,0.2,54,353,53,0.1501416430594901,True,True,11.0,11.0,0.0,1.261871762448281,0.5527023917259781,8.0,140335433.2836947,121879.25080807162,,0.05555555555555555,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.05555555555555555,,0.018518518518518517,0.037037037037037035,0.09259259259259259,,0.018518518518518517,0.018518518518518517,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,0.037037037037037035,,,,,0.018518518518518517,0.037037037037037035,,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.037037037037037035,,0.5740740740740741,,,,,,,,,,,0.2037037037037037,,,,,,,,,,,0.09259259259259259,,,,,,,,,,,0.05555555555555555,,,,,,0.037037037037037035,,,0.018518518518518517,,0.018518518518518517,0.0013585000000002623
eco.edgelist,unknown,t_spanner,0.2,54,353,56,0.15864022662889518,True,True,11.0,11.0,0.0,1.2029477665745993,0.35197741357418805,8.0,140335433.2836947,122172.51453531731,,0.05555555555555555,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.05555555555555555,,0.018518518518518517,0.037037037037037035,0.09259259259259259,,0.018518518518518517,0.018518518518518517,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,0.037037037037037035,,,,,0.018518518518518517,0.037037037037037035,,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.037037037037037035,,0.5370370370370371,0.018518518518518517,,,,,,,,,,0.2222222222222222,,,,,,,,,,,0.09259259259259259,,,,,,,,,,,0.05555555555555555,,,,,,0.05555555555555555,,,0.018518518518518517,,,0.02331530000000015
songbirds.edgelist,unknown,kols,0.2,110,1027,210,0.2044790652385589,False,False,inf,inf,0.641534612176814,0.8560725919032008,0.1637709670689747,3.0,1.7980439319767096,0.03436606452409026,0.05454545454545454,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.06363636363636363,0.02727272727272727,0.02727272727272727,,0.02727272727272727,0.01818181818181818,0.02727272727272727,0.045454545454545456,0.02727272727272727,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.05454545454545454,0.03636363636363636,0.045454545454545456,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,0.02727272727272727,0.01818181818181818,,0.00909090909090909,,0.00909090909090909,0.00909090909090909,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,,0.045454545454545456,0.00909090909090909,0.02727272727272727,0.03636363636363636,,,0.32727272727272727,0.2,,,,,0.00909090909090909,,,,,,0.09090909090909091,,,,,0.01818181818181818,,,,0.00909090909090909,,0.1,,,,,,,,,,,0.07272727272727272,,0.00909090909090909,0.00909090909090909,0.00909090909090909,,0.045454545454545456,,0.06363636363636363,0.03636363636363636,,,0.01923660000000016
songbirds.edgelist,unknown,random,0.2,110,1027,829,0.807205452775073,False,False,inf,inf,0.05404503753127606,1.0776557422475253,0.12102480877269754,6.0,1.7980439319767096,1.4615395712660624,0.05454545454545454,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.06363636363636363,0.02727272727272727,0.02727272727272727,,0.02727272727272727,0.01818181818181818,0.02727272727272727,0.045454545454545456,0.02727272727272727,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.05454545454545454,0.03636363636363636,0.045454545454545456,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,0.02727272727272727,0.01818181818181818,,0.00909090909090909,,0.00909090909090909,0.00909090909090909,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,,0.045454545454545456,0.00909090909090909,0.02727272727272727,0.03636363636363636,,,0.02727272727272727,0.03636363636363636,0.00909090909090909,0.03636363636363636,0.03636363636363636,0.07272727272727272,0.01818181818181818,0.00909090909090909,0.05454545454545454,0.045454545454545456,0.02727272727272727,0.03636363636363636,0.06363636363636363,0.01818181818181818,0.02727272727272727,0.03636363636363636,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.02727272727272727,,0.00909090909090909,,0.03636363636363636,0.00909090909090909,0.00909090909090909,0.01818181818181818,0.01818181818181818,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,,0.045454545454545456,0.00909090909090909,,,0.00909090909090909,,0.02727272727272727,,0.02727272727272727,0.01818181818181818,0.05454545454545454,0.00909090909090909,0.0022900000000003473
songbirds.edgelist,unknown,k_neighbor,0.2,110,1027,114,0.11100292112950341,False,False,inf,inf,0.4815679733110926,2.785369553226692,3.8766116423375823,18.0,1.7980439319767096,0.25276747118601905,0.05454545454545454,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.06363636363636363,0.02727272727272727,0.02727272727272727,,0.02727272727272727,0.01818181818181818,0.02727272727272727,0.045454545454545456,0.02727272727272727,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.05454545454545454,0.03636363636363636,0.045454545454545456,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,0.02727272727272727,0.01818181818181818,,0.00909090909090909,,0.00909090909090909,0.00909090909090909,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,,0.045454545454545456,0.00909090909090909,0.02727272727272727,0.03636363636363636,,,,0.4727272727272727,,,,,,,,,,,0.21818181818181817,,,,,,,,,,,0.16363636363636364,,,,,,,,,,,0.07272727272727272,,,,,,0.05454545454545454,,0.01818181818181818,,,,0.004983900000000041
songbirds.edgelist,unknown,local_degree,0.2,110,1027,121,0.11781888997078871,False,False,inf,inf,0.03603002502085071,1.1872609365601323,0.4701092306479948,7.0,1.7980439319767096,0.13071641473196932,0.05454545454545454,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.06363636363636363,0.02727272727272727,0.02727272727272727,,0.02727272727272727,0.01818181818181818,0.02727272727272727,0.045454545454545456,0.02727272727272727,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.05454545454545454,0.03636363636363636,0.045454545454545456,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,0.02727272727272727,0.01818181818181818,,0.00909090909090909,,0.00909090909090909,0.00909090909090909,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,,0.045454545454545456,0.00909090909090909,0.02727272727272727,0.03636363636363636,,,,0.7545454545454545,,,,,,0.00909090909090909,,0.00909090909090909,,,0.13636363636363635,,,,,,,,,,,0.02727272727272727,,,,,,,,,,,0.02727272727272727,,,,,,0.00909090909090909,0.00909090909090909,,0.00909090909090909,0.00909090909090909,,0.0051992000000007366
songbirds.edgelist,unknown,mst,0.2,110,1027,108,0.10516066212268745,False,False,inf,inf,0.03603002502085071,2.184403299302087,1.7042209123985819,13.0,1.7980439319767096,0.053430486793426414,0.05454545454545454,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.06363636363636363,0.02727272727272727,0.02727272727272727,,0.02727272727272727,0.01818181818181818,0.02727272727272727,0.045454545454545456,0.02727272727272727,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.05454545454545454,0.03636363636363636,0.045454545454545456,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,0.02727272727272727,0.01818181818181818,,0.00909090909090909,,0.00909090909090909,0.00909090909090909,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,,0.045454545454545456,0.00909090909090909,0.02727272727272727,0.03636363636363636,,,,0.6636363636363637,,,0.00909090909090909,,0.00909090909090909,,,,,,0.11818181818181818,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,0.03636363636363636,,,,,,0.03636363636363636,,0.02727272727272727,0.00909090909090909,,,0.0037546999999999997
songbirds.edgelist,unknown,t_spanner,0.2,110,1027,176,0.17137293086660174,False,False,inf,inf,0.03603002502085071,1.2544673242198796,0.3187496782837112,7.0,1.7980439319767096,0.10367734344978687,0.05454545454545454,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.06363636363636363,0.02727272727272727,0.02727272727272727,,0.02727272727272727,0.01818181818181818,0.02727272727272727,0.045454545454545456,0.02727272727272727,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.05454545454545454,0.03636363636363636,0.045454545454545456,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,0.02727272727272727,0.01818181818181818,,0.00909090909090909,,0.00909090909090909,0.00909090909090909,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.02727272727272727,,0.045454545454545456,0.00909090909090909,0.02727272727272727,0.03636363636363636,,,,0.3181818181818182,,0.02727272727272727,,0.00909090909090909,,0.00909090909090909,,,,,0.21818181818181817,,,,,,,,,,,0.15454545454545454,,,,,,,,,,,0.1,,,,,,0.07272727272727272,,0.02727272727272727,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.16213049999999996
