graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,sparsify_time,metric_time
bipartite1.edgelist,bipartite,original,0.2,10,14,,1.0,True,True,24.0,24.0,0.0,1.0,0.0,1.0,3330.0,3330.0,,0.3,0.6,0.1,,,,,,,0.3,0.6,0.1,,,,,,0.0018461720001141657
bipartite1.edgelist,bipartite,kols,0.2,10,14,9,0.6428571428571429,True,True,24.0,26.0,0.0,1.0962855948279067,0.06616011343478906,2.1818181818181817,3330.0,2307.0,,0.3,0.6,0.1,,,,,,0.5,0.3,0.1,0.1,,,,,0.0007470119999197777,0.0005003419992135605
bipartite1.edgelist,bipartite,random,0.2,10,14,4,0.2857142857142857,True,False,24.0,inf,0.7777777777777778,1.458446455505279,1.307546306723176,4.833333333333333,3330.0,398.0,,0.3,0.6,0.1,,,,,0.5,0.2,0.3,,,,,,,4.212000021652784e-05,0.00037292999968485674
bipartite1.edgelist,bipartite,k_neighbor,0.2,10,14,8,0.5714285714285714,True,False,24.0,inf,0.35555555555555557,2.0578792691715724,5.038602030392132,12.5,3330.0,2517.0,,0.3,0.6,0.1,,,,,,0.6,0.2,0.2,,,,,,0.0009108630001719575,0.0004406079997352208
bipartite1.edgelist,bipartite,local_degree,0.2,10,14,9,0.6428571428571429,True,True,24.0,38.0,0.0,1.7219105011107074,3.7060010588371926,12.5,3330.0,1906.0,,0.3,0.6,0.1,,,,,,0.5,0.3,0.1,0.1,,,,,0.00011044099937862484,0.0004613470000549569
bipartite1.edgelist,bipartite,mst,0.2,10,14,9,0.6428571428571429,True,True,24.0,26.0,0.0,1.0962855948279067,0.06616011343478906,2.1818181818181817,3330.0,2307.0,,0.3,0.6,0.1,,,,,,0.5,0.3,0.1,0.1,,,,,8.497199996782001e-05,0.0005180150001251604
bipartite1.edgelist,bipartite,t_spanner,0.2,10,14,11,0.7857142857142857,True,True,24.0,25.0,0.0,1.0135390113460292,0.0018430550107182608,1.25,3330.0,3128.0,,0.3,0.6,0.1,,,,,,0.2,0.5,0.2,0.1,,,,,0.0005828590001328848,0.0004971549997208058
bipartite10.edgelist,bipartite,original,0.2,29,44,,1.0,True,True,62.197,62.197,0.0,1.0,0.0,1.0,214370.99886931793,214370.99886931793,0.06896551724137931,0.3103448275862069,0.3448275862068966,0.13793103448275862,0.06896551724137931,0.06896551724137931,,,,0.06896551724137931,0.3103448275862069,0.3448275862068966,0.13793103448275862,0.06896551724137931,0.06896551724137931,,,,0.003986764999353909
bipartite10.edgelist,bipartite,kols,0.2,29,44,28,0.6363636363636364,True,True,62.197,84.07300000000001,0.0,1.4191205736355392,0.4482706264485376,5.599796644636502,214370.99886931793,76360.15441194199,0.06896551724137931,0.3103448275862069,0.3448275862068966,0.13793103448275862,0.06896551724137931,0.06896551724137931,,,,0.41379310344827586,0.27586206896551724,0.27586206896551724,0.034482758620689655,,,,,0.0005591439994532266,0.0030268689997683396
bipartite10.edgelist,bipartite,random,0.2,29,44,9,0.20454545454545456,True,False,62.197,inf,0.9753694581280788,1.0,0.0,1.0,214370.99886931793,48082.698178950006,0.06896551724137931,0.3103448275862069,0.3448275862068966,0.13793103448275862,0.06896551724137931,0.06896551724137931,,,0.41379310344827586,0.5517241379310345,0.034482758620689655,,,,,,,7.411100068566157e-05,0.0018771209997794358
bipartite10.edgelist,bipartite,k_neighbor,0.2,29,44,24,0.5454545454545454,True,False,62.197,inf,0.7660098522167488,1.696527258330652,10.059844166149803,31.577721837633735,214370.99886931793,157993.885908775,0.06896551724137931,0.3103448275862069,0.3448275862068966,0.13793103448275862,0.06896551724137931,0.06896551724137931,,,,0.41379310344827586,0.5172413793103449,0.06896551724137931,,,,,,0.0017577950002305442,0.002088592999825778
bipartite10.edgelist,bipartite,local_degree,0.2,29,44,26,0.5909090909090909,True,False,62.197,inf,0.5270935960591133,1.4610418041390483,6.486610788881909,35.83810463968411,214370.99886931793,177943.31274291195,0.06896551724137931,0.3103448275862069,0.3448275862068966,0.13793103448275862,0.06896551724137931,0.06896551724137931,,,,0.5862068965517241,0.27586206896551724,0.034482758620689655,0.034482758620689655,,0.06896551724137931,,,0.00024767099966993555,0.0023142239997469005
bipartite10.edgelist,bipartite,mst,0.2,29,44,28,0.6363636363636364,True,True,62.197,84.07300000000001,0.0,1.4191205736355392,0.4482706264485376,5.599796644636502,214370.99886931793,76360.15441194199,0.06896551724137931,0.3103448275862069,0.3448275862068966,0.13793103448275862,0.06896551724137931,0.06896551724137931,,,,0.41379310344827586,0.27586206896551724,0.27586206896551724,0.034482758620689655,,,,,0.00022640099996351637,0.0028416160002961988
bipartite10.edgelist,bipartite,t_spanner,0.2,29,44,37,0.8409090909090909,True,True,62.197,62.197,0.0,1.0461407329486794,0.011517475961346384,1.7508847817538342,214370.99886931793,165070.25388278996,0.06896551724137931,0.3103448275862069,0.3448275862068966,0.13793103448275862,0.06896551724137931,0.06896551724137931,,,,0.06896551724137931,0.5172413793103449,0.20689655172413793,0.20689655172413793,,,,,0.0007810760007487261,0.003009906000443152
bipartite2.edgelist,bipartite,original,0.2,15,17,,1.0,True,True,85.16,85.16,0.0,1.0,0.0,1.0,74118.09556432601,74118.09556432601,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.06666666666666667,,,,,,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.06666666666666667,,,,,,0.0009616389997972874
bipartite2.edgelist,bipartite,kols,0.2,15,17,14,0.8235294117647058,True,True,85.16,85.16,0.0,1.019504852837206,0.015657352905589953,2.2221933336799955,74118.09556432601,42347.71312985099,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.06666666666666667,,,,,,0.3333333333333333,0.4666666666666667,0.2,,,,,,0.0002595839996502036,0.0008109230002446566
bipartite2.edgelist,bipartite,random,0.2,15,17,4,0.23529411764705882,True,False,85.16,inf,0.9523809523809523,1.0,0.0,1.0,74118.09556432601,8478.709731549,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.06666666666666667,,,,,0.5333333333333333,0.4,0.06666666666666667,,,,,,,4.135800008953083e-05,0.0005152200001248275
bipartite2.edgelist,bipartite,k_neighbor,0.2,15,17,10,0.5882352941176471,True,False,85.16,inf,0.8476190476190476,1.0650867166105984,0.021981352677000906,1.5359116022099446,74118.09556432601,49684.629342119995,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.06666666666666667,,,,,,0.7333333333333333,0.2,0.06666666666666667,,,,,,0.0006957739997233148,0.0006103820005591842
bipartite2.edgelist,bipartite,local_degree,0.2,15,17,13,0.7647058823529411,True,False,85.16,inf,0.5142857142857142,1.373307287213806,0.3841931015826128,3.4337626494940197,74118.09556432601,69412.399113291,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.06666666666666667,,,,,,0.4666666666666667,0.4,0.06666666666666667,0.06666666666666667,,,,,0.00012111100022593746,0.0006320929996945779
bipartite2.edgelist,bipartite,mst,0.2,15,17,14,0.8235294117647058,True,True,85.16,85.16,0.0,1.019504852837206,0.015657352905589953,2.2221933336799955,74118.09556432601,42347.71312985099,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.06666666666666667,,,,,,0.3333333333333333,0.4666666666666667,0.2,,,,,,9.064200003194856e-05,0.0007777499995427206
bipartite2.edgelist,bipartite,t_spanner,0.2,15,17,15,0.8823529411764706,True,True,85.16,85.16,0.0,1.004400926840005,0.0011543781870448412,1.3218131906806503,74118.09556432601,43260.384101002,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.06666666666666667,,,,,,0.2,0.6,0.2,,,,,,0.00022050900042813737,0.000766227999520197
bipartite3.edgelist,bipartite,original,0.2,20,25,,1.0,True,True,46.999,46.999,0.0,1.0,0.0,1.0,46245.964279335996,46245.964279335996,0.15,0.4,0.3,0.1,0.05,,,,,0.15,0.4,0.3,0.1,0.05,,,,,0.0013903750004828908
bipartite3.edgelist,bipartite,kols,0.2,20,25,19,0.76,True,True,46.999,79.797,0.0,1.194529777427627,0.09119076207882593,2.940159431218356,46245.964279335996,31727.658633181,0.15,0.4,0.3,0.1,0.05,,,,,0.35,0.4,0.25,,,,,,0.0003143679996355786,0.001281117999496928
bipartite3.edgelist,bipartite,random,0.2,20,25,5,0.2,True,False,46.999,inf,0.9736842105263158,1.0,0.0,1.0,46245.964279335996,15182.568625380998,0.15,0.4,0.3,0.1,0.05,,,,0.5,0.5,,,,,,,,4.547600019577658e-05,0.0008018049993552268
bipartite3.edgelist,bipartite,k_neighbor,0.2,20,25,15,0.6,True,False,46.999,inf,0.7526315789473684,1.3785523354795157,1.7289361536462808,10.025215448451963,46245.964279335996,40437.559361096,0.15,0.4,0.3,0.1,0.05,,,,,0.65,0.25,0.05,0.05,,,,,0.0008687330000611837,0.0009940119998645969
bipartite3.edgelist,bipartite,local_degree,0.2,20,25,18,0.72,True,False,46.999,inf,0.5263157894736842,1.0466746030491023,0.024218405977168997,1.84020418354325,46245.964279335996,38353.146796929,0.15,0.4,0.3,0.1,0.05,,,,,0.6,0.15,0.15,0.05,0.05,,,,0.00015648699991288595,0.0010735429996202583
bipartite3.edgelist,bipartite,mst,0.2,20,25,19,0.76,True,True,46.999,79.797,0.0,1.194529777427627,0.09119076207882593,2.940159431218356,46245.964279335996,31727.658633181,0.15,0.4,0.3,0.1,0.05,,,,,0.35,0.4,0.25,,,,,,0.00012706199959211517,0.0012543359998744563
bipartite3.edgelist,bipartite,t_spanner,0.2,20,25,20,0.8,True,True,46.999,61.346000000000004,0.0,1.1089738408203331,0.03627951721324891,1.9463535494990847,46245.964279335996,32136.648848593,0.15,0.4,0.3,0.1,0.05,,,,,0.35,0.35,0.25,0.05,,,,,0.0003426020002734731,0.0012815380005122279
bipartite4.edgelist,bipartite,original,0.2,17,23,,1.0,True,True,38.949,38.949,0.0,1.0,0.0,1.0,56355.517744462006,56355.517744462006,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705,,,,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705,,,,0.0011081480006396305
bipartite4.edgelist,bipartite,kols,0.2,17,23,16,0.6956521739130435,True,True,38.949,62.21300000000001,0.0,1.3318082612729552,0.2420440264388329,3.413086065038527,56355.517744462006,51001.39389734,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705,,,,0.29411764705882354,0.5294117647058824,0.17647058823529413,,,,,,0.00026457300009496976,0.0009638940000513685
bipartite4.edgelist,bipartite,random,0.2,17,23,4,0.17391304347826086,True,False,38.949,inf,0.9558823529411765,1.0,0.0,1.0,56355.517744462006,3261.008871881999,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705,,,0.6470588235294118,0.23529411764705882,0.11764705882352941,,,,,,,6.126700009190245e-05,0.0006467309995059622
bipartite4.edgelist,bipartite,k_neighbor,0.2,17,23,13,0.5652173913043478,True,False,38.949,inf,0.7647058823529411,1.0916884563208973,0.10952332249108146,2.6660044150110376,56355.517744462006,34962.542353882,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705,,,,0.5882352941176471,0.29411764705882354,0.11764705882352941,,,,,,0.0007150600004024454,0.0008390559996769298
bipartite4.edgelist,bipartite,local_degree,0.2,17,23,16,0.6956521739130435,True,True,38.949,66.908,0.0,1.7140134607268394,2.878724780994347,16.304449648711945,56355.517744462006,49605.099650207,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705,,,,0.5294117647058824,0.35294117647058826,,,0.058823529411764705,0.058823529411764705,,,0.00013692100037587807,0.0009568410005158512
bipartite4.edgelist,bipartite,mst,0.2,17,23,16,0.6956521739130435,True,True,38.949,62.21300000000001,0.0,1.3318082612729552,0.2420440264388329,3.413086065038527,56355.517744462006,51001.39389734,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705,,,,0.29411764705882354,0.5294117647058824,0.17647058823529413,,,,,,9.885800045594806e-05,0.000986145999377186
bipartite4.edgelist,bipartite,t_spanner,0.2,17,23,20,0.8695652173913043,True,True,38.949,40.056,0.0,1.0149385023355066,0.0033637615203508634,1.3894780993468752,56355.517744462006,53029.70497804601,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705,,,,0.17647058823529413,0.5294117647058824,0.11764705882352941,0.11764705882352941,0.058823529411764705,,,,0.00031956800012267195,0.0009884609999062377
bipartite5.edgelist,bipartite,original,0.2,16,18,,1.0,True,True,60.581,60.581,0.0,1.0,0.0,1.0,109616.97527761396,109616.97527761396,0.3125,0.3125,0.1875,0.1875,,,,,,0.3125,0.3125,0.1875,0.1875,,,,,,0.0008961149997048778
bipartite5.edgelist,bipartite,kols,0.2,16,18,15,0.8333333333333334,True,True,60.581,66.203,0.0,1.0999891811607356,0.07941072328209645,3.0974218402726335,109616.97527761396,96722.923166689,0.3125,0.3125,0.1875,0.1875,,,,,,0.4375,0.3125,0.1875,0.0625,,,,,0.00024063799992291024,0.0008682420002514846
bipartite5.edgelist,bipartite,random,0.2,16,18,4,0.2222222222222222,True,False,60.581,inf,0.9583333333333334,1.0,0.0,1.0,109616.97527761396,25113.880777947998,0.3125,0.3125,0.1875,0.1875,,,,,0.5625,0.375,0.0625,,,,,,,3.8502999814227223e-05,0.0005408790002547903
bipartite5.edgelist,bipartite,k_neighbor,0.2,16,18,14,0.7777777777777778,True,False,60.581,inf,0.5,1.5745303335757757,2.392415632892627,12.22183954619125,109616.97527761396,91105.97869254198,0.3125,0.3125,0.1875,0.1875,,,,,,0.4375,0.375,0.1875,,,,,,0.0006708460005029337,0.0007285459996637655
bipartite5.edgelist,bipartite,local_degree,0.2,16,18,14,0.7777777777777778,True,False,60.581,inf,0.5,1.074540973830937,0.06366482307014293,2.7646858620924375,109616.97527761396,105749.79997071499,0.3125,0.3125,0.1875,0.1875,,,,,,0.625,0.1875,,0.1875,,,,,0.0001689509999778238,0.0007694550004089251
bipartite5.edgelist,bipartite,mst,0.2,16,18,15,0.8333333333333334,True,True,60.581,66.203,0.0,1.0999891811607356,0.07941072328209645,3.0974218402726335,109616.97527761396,96722.923166689,0.3125,0.3125,0.1875,0.1875,,,,,,0.4375,0.3125,0.1875,0.0625,,,,,9.438899996894179e-05,0.000848664999466564
bipartite5.edgelist,bipartite,t_spanner,0.2,16,18,16,0.8888888888888888,True,True,60.581,60.581,0.0,1.0426056350478388,0.02447229940269068,1.906429657040904,109616.97527761396,100012.009172489,0.3125,0.3125,0.1875,0.1875,,,,,,0.375,0.375,0.125,0.125,,,,,0.00023135999981604982,0.0008797139998932835
bipartite6.edgelist,bipartite,original,0.2,27,36,,1.0,True,True,85.59899999999999,85.59899999999999,0.0,1.0,0.0,1.0,179211.428847626,179211.428847626,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.18518518518518517,,,,,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.18518518518518517,,,,,0.0030776260000493494
bipartite6.edgelist,bipartite,kols,0.2,27,36,26,0.7222222222222222,True,True,85.59899999999999,96.576,0.0,1.3252143783806216,0.2134134905672024,4.697502949272513,179211.428847626,128331.41499943798,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.18518518518518517,,,,,0.4444444444444444,0.3333333333333333,0.07407407407407407,0.14814814814814814,,,,,0.0004558569999062456,0.0024561929994888487
bipartite6.edgelist,bipartite,random,0.2,27,36,7,0.19444444444444445,True,False,85.59899999999999,inf,0.9601139601139601,5.954671870694325,275.7937471213876,65.76022304832713,179211.428847626,12906.218215459998,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.18518518518518517,,,,0.6296296296296297,0.25925925925925924,0.07407407407407407,0.037037037037037035,,,,,,6.0946000303374603e-05,0.001415773999724479
bipartite6.edgelist,bipartite,k_neighbor,0.2,27,36,23,0.6388888888888888,True,False,85.59899999999999,inf,0.5299145299145299,4.752655846942974,116.91701411782681,112.05016722408027,179211.428847626,146340.417010886,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.18518518518518517,,,,,0.4444444444444444,0.4074074074074074,0.14814814814814814,,,,,,0.0011853759997393354,0.0016190799997275462
bipartite6.edgelist,bipartite,local_degree,0.2,27,36,26,0.7222222222222222,True,True,85.59899999999999,101.333,0.0,2.3644332215507005,86.69279025441182,156.1571906354515,179211.428847626,164340.49907146298,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.18518518518518517,,,,,0.5925925925925926,0.14814814814814814,0.1111111111111111,0.037037037037037035,0.1111111111111111,,,,0.0002020939991780324,0.00213168600021163
bipartite6.edgelist,bipartite,mst,0.2,27,36,26,0.7222222222222222,True,True,85.59899999999999,96.576,0.0,1.3252143783806216,0.2134134905672024,4.697502949272513,179211.428847626,128331.41499943797,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.18518518518518517,,,,,0.4444444444444444,0.3333333333333333,0.07407407407407407,0.14814814814814814,,,,,0.0001499660002082237,0.0020405119994393317
bipartite6.edgelist,bipartite,t_spanner,0.2,27,36,29,0.8055555555555556,True,True,85.59899999999999,85.59899999999999,0.0,1.0393859362106772,0.010859476894700494,1.9551804038397882,179211.428847626,134361.31654306798,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.18518518518518517,,,,,0.37037037037037035,0.3333333333333333,0.14814814814814814,0.07407407407407407,0.07407407407407407,,,,0.0004995399995095795,0.002150822999283264
bipartite7.edgelist,bipartite,original,0.2,36,72,,1.0,True,True,60.542,60.542,0.0,1.0,0.0,1.0,358499.6353381199,358499.6353381199,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.005078502000287699
bipartite7.edgelist,bipartite,kols,0.2,36,72,35,0.4861111111111111,True,True,60.542,79.403,0.0,1.3476868494150578,0.3061622358816938,5.35505873436908,358499.6353381199,116650.89249372201,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.4722222222222222,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.027777777777777776,,,,0.0005749739993916592,0.004192596999928355
bipartite7.edgelist,bipartite,random,0.2,36,72,16,0.2222222222222222,True,False,60.542,inf,0.9476190476190476,1.121823651911754,0.06939071677256597,2.30310298306101,358499.6353381199,62904.96142338699,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.3333333333333333,0.4722222222222222,0.16666666666666666,0.027777777777777776,,,,,,9.293699986301363e-05,0.002789958999528608
bipartite7.edgelist,bipartite,k_neighbor,0.2,36,72,33,0.4583333333333333,True,False,60.542,inf,0.7142857142857143,2.9720577142581095,25.273759685854618,60.627490039840644,358499.6353381199,235013.652746418,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.4444444444444444,0.3611111111111111,0.1388888888888889,0.027777777777777776,0.027777777777777776,,,,0.0017408020003131242,0.003206741000212787
bipartite7.edgelist,bipartite,local_degree,0.2,36,72,35,0.4861111111111111,True,True,60.542,119.149,0.0,2.294127636848724,27.55648143480755,119.10683012259196,358499.6353381199,233421.18530807397,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.6388888888888888,0.1388888888888889,0.1111111111111111,0.027777777777777776,,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.00028874899999209447,0.0042792829999598325
bipartite7.edgelist,bipartite,mst,0.2,36,72,35,0.4861111111111111,True,True,60.542,79.403,0.0,1.3476868494150578,0.3061622358816938,5.35505873436908,358499.6353381199,116650.89249372201,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.4722222222222222,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.027777777777777776,,,,0.00025169900072796736,0.004177998999693955
bipartite7.edgelist,bipartite,t_spanner,0.2,36,72,45,0.625,True,True,60.542,60.542,0.0,1.0822495234286116,0.02735057391342627,1.9895365368211542,358499.6353381199,146766.50025358007,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.2777777777777778,0.2777777777777778,0.19444444444444445,0.16666666666666666,0.08333333333333333,,,,0.0013258230001156335,0.004558143000394921
bipartite8.edgelist,bipartite,original,0.2,29,42,,1.0,True,True,54.083000000000006,54.083000000000006,0.0,1.0,0.0,1.0,270791.3341421281,270791.3341421281,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.0028114790002291556
bipartite8.edgelist,bipartite,kols,0.2,29,42,28,0.6666666666666666,True,True,54.083000000000006,90.98100000000001,0.0,1.4255992973593343,0.44760685876366146,5.644308218689858,270791.3341421281,163623.105299707,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.3793103448275862,0.3448275862068966,0.2413793103448276,0.034482758620689655,,,,,0.00043487699986144435,0.002605747999950836
bipartite8.edgelist,bipartite,random,0.2,29,42,9,0.21428571428571427,True,False,54.083000000000006,inf,0.9556650246305419,1.0,0.0,1.0,270791.3341421281,91441.41988930001,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,0.5862068965517241,0.2413793103448276,0.13793103448275862,0.034482758620689655,,,,,,7.950100007292349e-05,0.001642154000364826
bipartite8.edgelist,bipartite,k_neighbor,0.2,29,42,27,0.6428571428571429,True,False,54.083000000000006,inf,0.1330049261083744,3.1050659542478103,75.04193222026846,153.16144578313254,270791.3341421281,206182.45262633706,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.4482758620689655,0.3448275862068966,0.10344827586206896,0.10344827586206896,,,,,0.0013108840003042133,0.0024182709994420293
bipartite8.edgelist,bipartite,local_degree,0.2,29,42,26,0.6190476190476191,True,False,54.083000000000006,inf,0.6354679802955665,1.352135351727841,1.5180710736313459,13.852126748501284,270791.3341421281,226004.42000052112,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.5517241379310345,0.3103448275862069,0.034482758620689655,0.06896551724137931,,,0.034482758620689655,,0.00024329299958480988,0.0019342799996593385
bipartite8.edgelist,bipartite,mst,0.2,29,42,28,0.6666666666666666,True,True,54.083000000000006,90.98100000000001,0.0,1.4255992973593343,0.44760685876366146,5.644308218689858,270791.3341421281,163623.105299707,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.3793103448275862,0.3448275862068966,0.2413793103448276,0.034482758620689655,,,,,0.00017071500042220578,0.0026380389999758336
bipartite8.edgelist,bipartite,t_spanner,0.2,29,42,35,0.8333333333333334,True,True,54.083000000000006,58.137,0.0,1.08931071811879,0.030681142710505503,1.980899705014749,270791.3341421281,220014.27667078207,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.2413793103448276,0.27586206896551724,0.3448275862068966,0.10344827586206896,0.034482758620689655,,,,0.0005649449994962197,0.00264398000035726
bipartite9.edgelist,bipartite,original,0.2,27,39,,1.0,True,True,69.48400000000001,69.48400000000001,0.0,1.0,0.0,1.0,168844.89513462596,168844.89513462596,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,,0.0024844370000209892
bipartite9.edgelist,bipartite,kols,0.2,27,39,26,0.6666666666666666,True,True,69.48400000000001,95.154,0.0,1.2935646028763435,0.20678645109451974,4.881705725119661,168844.89513462596,110307.13619198896,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,,0.4074074074074074,0.3333333333333333,0.18518518518518517,0.07407407407407407,,,,,0.0005119739998917794,0.00227173299936112
bipartite9.edgelist,bipartite,random,0.2,27,39,8,0.20512820512820512,True,False,69.48400000000001,inf,0.9743589743589743,1.148987934722156,0.1170069676233243,2.0910669496430643,168844.89513462596,49603.51327864098,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,0.4444444444444444,0.5185185185185185,0.037037037037037035,,,,,,,6.831000064266846e-05,0.0017575239999132464
bipartite9.edgelist,bipartite,k_neighbor,0.2,27,39,20,0.5128205128205128,True,False,69.48400000000001,inf,0.8803418803418803,1.3058689747568109,0.668622036749152,4.483341789277862,168844.89513462596,141281.94337535996,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,,0.6296296296296297,0.2962962962962963,0.037037037037037035,0.037037037037037035,,,,,0.0011602879994825344,0.0014815189997534617
bipartite9.edgelist,bipartite,local_degree,0.2,27,39,24,0.6153846153846154,True,False,69.48400000000001,inf,0.6210826210826211,1.5482279510855932,2.0112853340657004,14.339861023373343,168844.89513462596,133967.21029531298,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,,0.5925925925925926,0.18518518518518517,0.14814814814814814,,0.07407407407407407,,,,0.00024011700043047313,0.0017390990005878848
bipartite9.edgelist,bipartite,mst,0.2,27,39,26,0.6666666666666666,True,True,69.48400000000001,95.154,0.0,1.2935646028763435,0.20678645109451974,4.881705725119661,168844.89513462596,110307.13619198896,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,,0.4074074074074074,0.3333333333333333,0.18518518518518517,0.07407407407407407,,,,,0.00015126800008147256,0.0024432090003756457
bipartite9.edgelist,bipartite,t_spanner,0.2,27,39,32,0.8205128205128205,True,True,69.48400000000001,71.07900000000001,0.0,1.0400940603915467,0.013124312253652494,1.8375147928994087,168844.89513462596,129467.43463178897,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,,0.18518518518518517,0.37037037037037035,0.3333333333333333,0.1111111111111111,,,,,0.0006477919996541459,0.0023281390003830893
